ticker,name,sector,index_weight
AXIA3,Axia Energia,Energia,19.77%
SBSP3,Sabesp,Saneamento,18.85%
EQTL3,Equatorial Energia,Energia,11.81%
ENEV3,Eneva,Energia,11.78%
CPLE3,Copel,Energia,10.84%
CMIG4,Cemig,Energia,5.14%
ENGI11,Energisa,Energia,3.78%
EGIE3,Engie Brasil,Energia,3.09%
ISAE4,ISA Energia Brasil,Energia,2.90%
CSMG3,Copasa,Saneamento,2.67%
TAEE11,Taesa,Energia,2.17%
CPFE3,CPFL Energia,Energia,2.07%
SAPR11,Sanepar,Saneamento,1.92%
ALUP11,Alupar,Energia,1.27%
ORVR3,Orizon,Residuos,1.03%
AURE3,Auren,Energia,0.92%